,Random State,Model,MSE,RMSE
0,352,Neural Network,275.7881437046,16.6068703766
0,404,Neural Network,305.9637693907,17.4918200708
0,403,Neural Network,273.4444948776,16.536157198
0,1000,Neural Network,577.9194151806,24.0399545586
0,319,Neural Network,314.8416962214,17.7437790851
0,319,Neural Network,270.8332847552,16.4570132392
0,810,Neural Network,439.72044268935593,20.969512218679668
0,109,Neural Network,427.2216837821523,20.669341638817436
0,109,Neural Network,389.9986876486351,19.74838443135628
0,2017,Neural Network,867.6610508593823,29.456086821901213
0,1203,Neural Network,356.3619659383919,18.877551905329035
0,99,Neural Network,913.3170460281315,30.221135750135723
0,1,Neural Network,329.10058804956014,18.14112973465435
0,1,Neural Network,269.2998328008358,16.410357485467397
